symbol,entry_time,exit_time,entry_price,exit_price,duration,duration_hours,entry_equity_before,exit_equity_after,gross_price_return_pct,net_trade_return_pct,net_pnl_cash,entry_fee_cash,exit_fee_cash,total_fee_cash,exit_reason,result
BTC/USDT,2025-07-05 04:00:00+00:00,2025-07-05 08:00:00+00:00,108137.66,108029.97,0d 4h,4,1201.7063561145108,1198.1098057509453,-0.09958602766141356,-0.2992869551921351,-3.596550363565484,1.2017063561145107,1.199309114865811,2.4010154709803215,confirmed_regime_off,loss
BTC/USDT,2025-07-05 20:00:00+00:00,2025-07-06 04:00:00+00:00,108096.75,107989.11,0d 8h,8,1198.1098057509453,1194.524121816044,-0.09957746185708105,-0.2992784065108167,-3.585683934901226,1.1981098057509454,1.1957198416577017,2.393829647408647,confirmed_regime_off,loss
BTC/USDT,2025-07-06 16:00:00+00:00,2025-07-07 16:00:00+00:00,108856.92,107976.91,1d 0h,24,1194.524121816044,1182.498921777277,-0.8084097914951016,-1.00669378032191,-12.025200038767025,1.194524121816044,1.1836826043816586,2.3782067261977025,confirmed_regime_off,loss
BTC/USDT,2025-07-08 08:00:00+00:00,2025-07-08 16:00:00+00:00,108262.36,108439.37,0d 8h,8,1182.498921777277,1182.0646386836468,0.16350096192250252,-0.0367258765003764,-0.4342830936302562,1.182498921777277,1.183247886570217,2.365746808347494,confirmed_regime_off,loss
BTC/USDT,2025-07-08 20:00:00+00:00,2025-07-09 04:00:00+00:00,108630.54,108553.61,0d 8h,8,1182.0646386836468,1178.866250064433,-0.07081802226150957,-0.2705764570349989,-3.1983886192138016,1.1820646386836469,1.1800462963607938,2.3621109350444405,confirmed_regime_off,loss
BTC/USDT,2025-07-09 08:00:00+00:00,2025-07-15 04:00:00+00:00,108654.16,117480.48,5d 20h,140,1178.866250064433,1272.0812885702285,8.123315296901644,7.907176789623138,93.21503850579552,1.178866250064433,1.273354643213442,2.452220893277875,confirmed_regime_off,win
BTC/USDT,2025-07-16 00:00:00+00:00,2025-07-18 16:00:00+00:00,118112.89,117553.42,2d 16h,64,1272.0812885702285,1263.5249253063266,-0.47367395717774485,-0.6726270829373604,-8.556363263901858,1.2720812885702284,1.264789715021348,2.5368710035915765,confirmed_regime_off,loss
BTC/USDT,2025-07-19 04:00:00+00:00,2025-07-19 08:00:00+00:00,118134.83,118101.82,0d 4h,4,1263.5249253063266,1260.64678242688,-0.027942648243528545,-0.22778679088968357,-2.8781428794466137,1.2635249253063265,1.261908691117998,2.5254336164243245,confirmed_regime_off,loss
BTC/USDT,2025-07-19 12:00:00+00:00,2025-07-19 16:00:00+00:00,118242.04,117973.99,0d 4h,4,1260.64678242688,1255.2746262267185,-0.22669602114441245,-0.4261428557981617,-5.372156200161498,1.26064678242688,1.2565311573841027,2.517177939810983,confirmed_regime_off,loss
BTC/USDT,2025-07-20 16:00:00+00:00,2025-07-20 20:00:00+00:00,118557.78,118087.67,0d 4h,4,1255.2746262267185,1247.7978175877402,-0.3965239565045797,-0.5956313051155293,-7.476808638978355,1.2552746262267185,1.2490468644521924,2.504321490678911,confirmed_regime_off,loss
BTC/USDT,2025-07-21 04:00:00+00:00,2025-07-21 12:00:00+00:00,118331.61,118172.82,0d 8h,8,1247.7978175877402,1243.632388473269,-0.1341906866643594,-0.3338224394817346,-4.165429114471181,1.2477978175877402,1.244877265739008,2.4926750833267484,confirmed_regime_off,loss
BTC/USDT,2025-07-21 16:00:00+00:00,2025-07-21 20:00:00+00:00,117738.44,116939.4,0d 4h,4,1243.632388473269,1232.7232423633186,-0.6786568600705145,-0.8772002250072353,-10.90914610995037,1.243632388473269,1.2339571995628815,2.4775895880361505,confirmed_regime_off,loss
BTC/USDT,2025-07-22 12:00:00+00:00,2025-07-23 08:00:00+00:00,119293.7,118423.21,0d 20h,20,1232.7232423633186,1221.281788548021,-0.7297032450162888,-0.9281445682294831,-11.441453815297564,1.2327232423633185,1.2225042928408618,2.4552275352041804,confirmed_regime_off,loss
BTC/USDT,2025-07-23 12:00:00+00:00,2025-07-23 20:00:00+00:00,117980.7,117900.0,0d 8h,8,1221.281788548021,1218.0067469780645,-0.06840101813262445,-0.2681642844973742,-3.2750415699565565,1.2212817885480212,1.2192259729510155,2.4405077614990365,confirmed_regime_off,loss
BTC/USDT,2025-07-24 00:00:00+00:00,2025-07-24 08:00:00+00:00,119060.0,118775.28,0d 8h,8,1218.0067469780645,1212.6650335836782,-0.23913992944734064,-0.43856188872839486,-5.341713394386261,1.2180067469780644,1.2138789124961746,2.431885659474239,confirmed_regime_off,loss
BTC/USDT,2025-07-24 12:00:00+00:00,2025-07-25 00:00:00+00:00,118531.42,117664.56,0d 12h,12,1212.6650335836782,1201.3900187519755,-0.731333514776078,-0.9297715790800631,-11.27501483170272,1.2126650335836782,1.202592611363339,2.415257644947017,confirmed_regime_off,loss
BTC/USDT,2025-07-26 20:00:00+00:00,2025-07-28 16:00:00+00:00,117956.32,118028.88,1d 20h,44,1201.3900187519755,1199.7259894042143,0.06151429613945325,-0.1385086709385086,-1.6640293477612431,1.2013900187519755,1.2009269163205347,2.40231693507251,confirmed_regime_off,loss
BTC/USDT,2025-07-29 04:00:00+00:00,2025-07-29 16:00:00+00:00,118533.93,117739.03,0d 12h,12,1199.7259894042143,1189.2983415322535,-0.6706096726903366,-0.8691691239546384,-10.427647871960744,1.1997259894042143,1.1904888303626162,2.3902148197668307,confirmed_regime_off,loss
BTC/USDT,2025-07-31 12:00:00+00:00,2025-07-31 20:00:00+00:00,118626.18,116514.0,0d 8h,8,1189.2983415322535,1165.787398036971,-1.780534448635196,-1.9768751602723955,-23.510943495282618,1.1892983415322536,1.1669543523893604,2.356252693921614,confirmed_regime_off,loss
