fold,period,symbol,strategy_name,entry_confirmation_bars,exit_confirmation_bars,cooldown_hours,min_hold_hours,exit_buffer_pct,initial_equity,final_equity,total_return_pct,benchmark_return_pct,max_drawdown_pct,benchmark_drawdown_pct,total_trades,wins,losses,win_rate_pct,profit_factor,avg_trade_return_pct,best_trade_pct,worst_trade_pct,avg_duration_hours,total_fees_paid,exposure_pct,profitable,beat_benchmark,selection_score
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,48,24,0.02,1000.0,1095.195361028673,9.51953610286731,-2.0466792524435062,25.2717754199424,52.86450773653576,32,12,20,37.5,1.1341573482837704,0.52422683811631,27.99130023051106,-5.720097796463186,181.21875,69.93775315501063,33.479591247618494,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,48,24,0.03,1000.0,1051.6956846302262,5.169568463022611,-2.0466792524435062,31.51310388611256,52.86450773653576,19,5,14,26.31578947368421,1.0838255330004904,0.8664483974030787,47.416609205211046,-7.736083463549126,410.7894736842105,43.96993270563639,45.06090872351481,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,0,0.0,1000.0,1090.9405280391425,9.094052803914243,-2.0466792524435062,24.555405617072612,52.86450773653576,62,20,42,32.25806451612903,1.1032429195271733,0.24270010957799698,30.12596485142214,-5.705682685775237,82.7741935483871,146.41147641093517,29.628774320189365,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,0,0.01,1000.0,1051.199929396942,5.119992939694207,-2.0466792524435062,26.06488951316028,52.86450773653576,49,17,32,34.69387755102041,1.0615432066828918,0.2170065110978885,27.61204918793925,-5.705682685775226,110.3061224489796,112.81321268945325,31.20489579123607,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,0,0.02,1000.0,1153.9099693431222,15.390996934312206,-2.0466792524435062,23.424938717365485,52.86450773653576,30,11,19,36.666666666666664,1.2294889246821032,0.7337087902976516,27.612049187939224,-6.13346338870665,205.76666666666668,66.99063232440591,35.638819929565265,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,0,0.03,1000.0,1091.1443912718776,9.114439127187746,-2.0466792524435062,32.675221547882096,52.86450773653576,18,5,13,27.77777777777778,1.1524669083795696,1.117878414169349,47.416609205211046,-7.736083463549126,438.94444444444446,42.76411942884039,45.615149240805955,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,12,0.0,1000.0,1108.9110439950393,10.891104399503938,-2.0466792524435062,23.312644666957894,52.86450773653576,61,20,41,32.78688524590164,1.125865280207067,0.27320784475171134,30.12596485142214,-5.705682685775226,84.39344262295081,144.6428265194718,29.72114773973789,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,12,0.01,1000.0,1051.199929396942,5.119992939694207,-2.0466792524435062,26.06488951316028,52.86450773653576,49,17,32,34.69387755102041,1.0615432066828918,0.2170065110978885,27.61204918793925,-5.705682685775226,110.3061224489796,112.81321268945325,31.20489579123607,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,12,0.02,1000.0,1153.9099693431222,15.390996934312206,-2.0466792524435062,23.424938717365485,52.86450773653576,30,11,19,36.666666666666664,1.2294889246821032,0.7337087902976516,27.612049187939224,-6.13346338870665,205.76666666666668,66.99063232440591,35.638819929565265,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,12,0.03,1000.0,1091.1443912718776,9.114439127187746,-2.0466792524435062,32.675221547882096,52.86450773653576,18,5,13,27.77777777777778,1.1524669083795696,1.117878414169349,47.416609205211046,-7.736083463549126,438.94444444444446,42.76411942884039,45.615149240805955,True,True,
